notice_id_a,notice_id_b,label,estimated_similarity,survives_candidate_stage,candidate_count
N000215,N005986,different,0.6015625,True,1972
N004433,N011613,different,0.34375,True,6381
N000064,N010912,different,0.328125,False,5636
N008572,N009975,different,0.5546875,False,6257
N000431,N001948,different,0.296875,True,3642
N002598,N004139,different,0.5234375,False,6849
N007063,N007064,same,0.6171875,True,3841
N008238,N008239,same,0.6015625,True,4441
N000518,N009485,different,0.2578125,False,3180
N003093,N003735,different,0.296875,False,5692
N001977,N007620,different,0.3671875,False,2406
N009205,N009208,same,0.546875,True,2462
N003317,N010218,different,0.4609375,False,5348
N006112,N006266,different,0.3203125,False,5279
N003208,N003758,different,0.4609375,True,6467
N008188,N008190,same,0.984375,True,3837
N003051,N011987,different,0.375,True,3158
N001446,N004867,different,0.34375,False,2711
N000895,N009304,different,0.671875,True,4730
N000161,N010769,different,0.28125,False,6286
N003327,N003328,same,0.6953125,True,6172
N008176,N010603,different,0.359375,False,2703
N001633,N001634,same,0.3984375,False,1743
N004001,N007546,different,0.8359375,True,2345
N000937,N000938,same,0.6171875,True,3653
N008048,N008050,same,0.921875,True,6562
N004328,N008917,different,0.5,True,2214
N004757,N008828,different,0.6171875,True,6656
N005397,N005398,same,0.453125,False,2144
N001291,N007292,different,0.546875,False,7327
N007205,N007207,same,1.0,True,6742
N002229,N011361,different,0.734375,True,3912
N005375,N005716,different,0.4296875,False,5686
N002758,N002818,different,0.4453125,False,6452
N009564,N011151,different,0.71875,True,3950
N008487,N008488,same,0.9765625,True,6625
N007856,N007858,same,0.6171875,True,5709
N000647,N001025,different,0.3828125,False,3078
N003489,N010336,different,0.53125,False,2653
N000327,N009318,different,0.5234375,False,2848
N005431,N006150,different,0.4296875,False,3101
N002684,N004549,different,0.34375,False,2260
N005744,N007062,different,0.3125,False,2543
N004248,N011184,different,0.484375,False,3937
N003020,N003021,same,0.5625,True,3624
N000160,N003947,different,0.6484375,True,6714
N006712,N008335,different,0.515625,True,5472
N000843,N005365,different,0.5,True,5161
N011628,N011629,same,0.3515625,False,2370
N000026,N011332,different,0.7421875,True,2865
N003058,N009240,different,0.453125,True,3239
N000396,N000397,same,0.4140625,False,2360
N006146,N006401,different,0.359375,False,5141
N007004,N011967,different,0.5546875,True,3723
N002229,N002230,same,0.3671875,True,3912
N002088,N011862,different,0.6640625,True,2314
N004709,N004711,same,0.9453125,True,5030
N001940,N002621,different,0.4609375,False,3629
N004803,N004804,same,0.953125,True,5838
N003748,N011207,different,0.2734375,False,5747
N001623,N010411,different,0.296875,False,1652
N002821,N007053,different,0.734375,True,5647
N001977,N006802,different,0.7109375,True,2406
N000993,N011320,different,0.59375,True,4791
N008784,N011076,different,0.84375,True,5470
N001137,N005072,different,0.421875,False,2848
N007487,N007491,same,0.5703125,True,3396
N002401,N005487,different,0.609375,True,3938
N001101,N002086,different,0.453125,False,5217
N004655,N010935,different,0.7421875,True,2874
N004085,N004086,same,0.9609375,True,8065
N003125,N003127,same,0.96875,True,6291
N001101,N001666,different,0.453125,False,5217
N001141,N001142,same,0.3046875,False,7928
N006480,N008863,different,0.1484375,False,5458
N000817,N011666,different,0.828125,True,6039
N000219,N003185,different,0.609375,True,7423
N001988,N006863,different,0.296875,False,5779
N009478,N009479,same,0.7109375,True,4725
N001784,N005288,different,0.3125,False,2785
N001436,N002155,different,0.265625,False,2349
N006423,N011777,different,0.6015625,True,6626
N006565,N006569,same,0.3671875,False,7685
N003427,N006396,different,0.703125,True,6285
N009745,N009848,different,0.6484375,True,1969
N002762,N002765,same,0.65625,True,5892
N000065,N000124,different,0.40625,False,4494
N001140,N008945,different,0.4765625,True,6213
N002973,N002974,same,0.78125,True,2205
N006774,N006775,same,0.359375,False,2329
N011429,N011433,same,0.671875,True,7131
N009822,N009823,same,0.34375,False,5417
N009371,N009372,same,0.671875,True,5030
N001006,N009138,different,0.625,True,513
N000723,N009281,different,0.390625,False,2742
N000259,N003124,different,0.6875,True,7615
N002544,N002792,different,0.6328125,True,3123
N002931,N008664,different,0.6640625,True,459
N000990,N002132,different,0.703125,True,6617
N005946,N007449,different,0.4609375,True,6476
N004307,N010960,different,0.5234375,False,2929
N005835,N008645,different,0.5625,True,5204
N001422,N004687,different,0.71875,True,1646
N007233,N007728,different,0.2890625,False,2196
N009592,N009782,different,0.6640625,True,7412
N011533,N011534,same,0.6796875,True,2244
N005300,N005301,same,0.921875,True,2426
N005855,N007938,different,0.6328125,True,7627
N007921,N007922,same,0.4921875,False,5795
N001521,N006976,different,0.6015625,False,2182
N000725,N008406,different,0.8125,True,5755
N004174,N006820,different,0.6484375,True,7505
N000607,N004665,different,0.640625,True,5220
N003228,N006079,different,0.6015625,True,6626
N010506,N010507,same,0.5703125,True,3933
N010699,N010700,same,0.625,True,2799
N001185,N004181,different,0.5859375,True,2063
N005027,N005028,same,1.0,True,2485
N001758,N009092,different,0.4609375,True,4468
N002928,N003582,different,0.328125,False,2171
N003050,N008741,different,0.6875,True,4418
N004158,N011487,different,0.515625,True,4735
N000139,N007621,different,0.484375,False,3515
N007036,N007038,same,0.40625,False,6981
N002201,N002648,different,0.5234375,True,5936
N000003,N000843,different,0.625,True,2867
N007190,N008966,different,0.6015625,True,7534
N010033,N010034,same,0.9921875,True,6555
N005989,N005990,same,0.625,True,2588
N002242,N004023,different,0.4375,False,8317
N000443,N004578,different,0.2421875,False,2245
N005743,N005744,same,0.453125,False,2113
N003903,N006662,different,0.3515625,False,2513
N011033,N011036,same,0.6875,True,3963
N006643,N006644,same,0.3984375,False,1965
N003720,N006775,different,0.6875,True,1554
N003418,N007053,different,0.453125,False,6995
N003804,N005139,different,0.359375,False,2008
N002540,N007668,different,0.3203125,False,2320
N008366,N008369,same,0.953125,True,8171
N010742,N010743,same,0.53125,True,3078
N004746,N004760,different,0.671875,True,7398
N007368,N009303,different,0.6875,True,4419
N007396,N007397,same,0.9921875,True,2218
N001143,N009969,different,0.65625,True,6213
N002468,N002469,same,0.96875,True,7509
N007220,N011663,different,0.4375,True,5863
N005926,N007181,different,0.4765625,True,7488
N003437,N005168,different,0.25,False,6325
N000355,N000372,different,0.4375,True,6329
N010682,N010683,same,0.953125,True,5660
N004567,N008956,different,0.6328125,True,5594
N008093,N008094,same,0.3984375,False,5375
N004447,N004449,same,0.5,True,5632
N001475,N004007,different,0.484375,False,4720
N001138,N009030,different,0.3359375,False,4442
N004140,N010723,different,0.71875,True,3596
N007477,N007828,different,0.6953125,True,2986
N008284,N009896,different,0.5078125,False,6240
N006759,N008551,different,0.359375,False,1028
N004856,N010634,different,0.4921875,True,6409
N003022,N010880,different,0.3359375,False,5912
N001271,N001372,different,0.421875,False,6329
N002952,N006725,different,0.578125,True,6297
N009630,N010560,different,0.625,True,6713
N002342,N008733,different,0.3203125,False,7500
N002631,N007528,different,0.3046875,False,4353
N002957,N003701,different,0.3671875,False,6183
N011515,N011516,same,0.5390625,False,5254
N004013,N005436,different,0.3984375,False,3205
N010144,N010145,same,0.984375,True,4480
N004509,N004511,same,0.640625,True,7233
N003868,N011674,different,0.578125,True,6255
N008357,N009838,different,0.421875,True,5215
N005241,N005242,same,0.9296875,True,4724
N008230,N009234,different,0.265625,False,2072
N000666,N000923,different,0.3515625,False,2184
N003267,N005780,different,0.5625,True,7563
N001044,N001720,different,0.390625,False,5972
N011522,N011523,same,0.609375,True,4732
N009330,N010526,different,0.5390625,True,4627
N003319,N008808,different,0.75,True,2799
N006178,N006182,same,0.40625,False,2048
N002814,N005953,different,0.4140625,True,2182
N007615,N007616,same,0.71875,True,4806
N007876,N007877,same,0.4765625,False,5608
N004729,N004730,same,0.6015625,True,2398
N005862,N006116,different,0.78125,True,4644
N000562,N005787,different,0.328125,False,2362
N007575,N009140,different,0.1796875,False,2315
N011000,N011001,same,0.3515625,False,6693
N006167,N009175,different,0.5,False,5719
N004662,N009916,different,0.421875,False,3307
N010431,N010432,same,0.9140625,True,5300
N001509,N001510,same,0.671875,True,7272
N000737,N002287,different,0.5625,True,6409
N001764,N001765,same,0.6484375,True,5433
N004877,N006275,different,0.734375,True,6792
N002351,N006165,different,0.5546875,True,6468
N009140,N009547,different,0.65625,True,4934
N007104,N007105,same,0.96875,True,2767
N000463,N000465,same,0.6484375,True,6354
N001124,N011201,different,0.4921875,False,5023
N004151,N010614,different,0.7421875,True,2229
N003957,N007645,different,0.5390625,True,6264
N003941,N009735,different,0.40625,False,3217
N000647,N008088,different,0.2578125,False,3078
N002017,N005475,different,0.8125,True,6400
N000323,N006510,different,0.65625,True,7382
N008539,N008542,same,0.484375,False,2457
N002578,N006004,different,0.7109375,True,2702
N001918,N002086,different,0.5,True,5922
N002507,N002508,same,0.9609375,True,7442
N001934,N011090,different,0.6875,True,5808
N004269,N011588,different,0.5390625,True,1508
N005629,N006728,different,0.4375,False,5839
N008009,N008010,same,0.421875,False,8072
N009840,N009841,same,0.390625,False,4556
